easting,northing,longitude,latitude,domain_no,domainname,domaintype
1210132.32427,5077809.40873,168.108682084,-44.3481615776,24,western Fiordland Margin - Caswell High,Contractional
1210102.63328,5077784.90201,168.108292598,-44.3483654727,24,western Fiordland Margin - Caswell High,Contractional
1210073.3232,5077759.94099,168.107907532,-44.3485736459,24,western Fiordland Margin - Caswell High,Contractional
1210044.40096,5077734.53159,168.107526977,-44.348786048,24,western Fiordland Margin - Caswell High,Contractional
1210015.87343,5077708.67983,168.107151022,-44.3490026284,24,western Fiordland Margin - Caswell High,Contractional
1209987.74737,5077682.39184,168.106779756,-44.3492233361,24,western Fiordland Margin - Caswell High,Contractional
1209960.02945,5077655.67385,168.106413268,-44.3494481186,24,western Fiordland Margin - Caswell High,Contractional
1209932.72625,5077628.5322,168.106051645,-44.3496769227,24,western Fiordland Margin - Caswell High,Contractional
1203485.93563,5071120.43302,168.02051135,-44.4045578678,24,western Fiordland Margin - Caswell High,Contractional
1199911.80161,5067775.16741,167.973221283,-44.4325957789,24,western Fiordland Margin - Caswell High,Contractional
1198005.28856,5066617.33949,167.948463035,-44.4419235957,24,western Fiordland Margin - Caswell High,Contractional
1197968.52194,5066594.5735,167.947985165,-44.4421073477,24,western Fiordland Margin - Caswell High,Contractional
1197932.15462,5066571.17495,167.9475118,-44.4422969919,24,western Fiordland Margin - Caswell High,Contractional
1197896.19746,5066547.15086,167.947043082,-44.4424924714,24,western Fiordland Margin - Caswell High,Contractional
1197860.66123,5066522.5084,167.946579151,-44.4426937279,24,western Fiordland Margin - Caswell High,Contractional
1197825.55656,5066497.25496,167.946120145,-44.4429007012,24,western Fiordland Margin - Caswell High,Contractional
