Name,Lat,Long,Elevation,NZS1170SiteClass,Vs30_median,Sigmaln_Vs30,Q_Vs30,Vs30_Ref,T_median,sigmaln_T,Q_T,D_T,T_Ref,Z1.0_median,sigmaln_Z1.0,Q_Z1.0,Z1.0_Bedrock,Z1.0_Ref,Z2.5_median,sigmaln_Z2.5,Q_Z2.5,Z2.5_Ref,Reference_site,TopoT_median,Deeprock_T,,BH,CPT,Bedrock?,Liquefiable?,Soft Soils?,DH,XH,SW,HVSR,Gravity,Reflection,Other,
261A,-41.27968506,173.7668514,15,D,303,0.2615,Q3,Foster et al. (2019) & Perrin et al. (2015),0.6,0.3,Q3,I,Kaiser et al. 2017,53,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),275,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
262A,-41.28888587,174.0082544,2,C,400,0.2,Q3,McVerry (2011),0.27,0.3,Q3,I,McVerry (2011),43,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
264A,-41.54358894,172.881539,290,D,390,0.2,Q3,McVerry (2011),1.3,0.3,Q3,I,McVerry (2011),200,0.3,Q3,1,Kaiser et al. (2017),875,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
265A,-41.80219354,172.3182307,162,D,280,0.2,Q3,McVerry (2011),2.3,0.3,Q3,I,McVerry (2011),158,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
266A,-41.75549051,171.5990218,5,D,300,0.2,Q3,McVerry (2011),2.8,0.2,Q2,Mw,Unpub HVSR (Van Houtte),85,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),375,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
267A,-42.11659981,171.8604234,189,C,333,0.2,Q3,McVerry (2011),0.3,0.3,Q3,I,McVerry (2011),48,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
268A,-42.44890609,171.2107134,13,D,210,0.2,Q3,McVerry (2011),1,0.2,Q2,Mw,McVerry (2011),73,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),1425,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
270A,-42.40751156,173.6820453,14,C,500,0.2,Q3,McVerry (2011),0.15,0.3,Q3,I,McVerry (2011),10,0.3,Q3,1,Kaiser et al. (2017),4875,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
272A,-42.71771202,170.9643089,6,D,278,0.2,Q3,McVerry (2011),0.76,0.3,Q3,I,McVerry (2011),88,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),2225,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
274A,-43.52053669,172.5832258,13,D,213,0.141,Q3,Foster et al. (2019),5.2,0.2,Q2,I,Stolte et al. 2021,535,0.3,Q3,0,NZVM (2021),2425,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
275A,-43.48893576,172.5382254,30,D,400,0.2,Q3,McVerry (2011),6.79,0.1,Q1,Ma,Stolte et al. 2021,593,0.3,Q3,1,Kaiser et al. (2017) & NZVM (2021),2675,0.3,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
301A,-40.35526874,175.6151784,32,D,341,0.2,Q3,McVerry (2011),0.75,0.3,Q3,I,McVerry (2011),63,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),325,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
302A,-39.933758,175.052973,20,D,250,0.1,Q2,McVerry (2011),1.2,0.1,Q1,I,Manea et al. 2021 unpublished,78,0.5,Q3,1,Kaiser et al. (2017) & NZVM (2021),3825,0.5,Q3,NZVM (2021),0,0,0,,,,,,,,,,,,,,
